Ax Value,Column Header,Cell Value
ku8j4vjx,e4abdf92,Female
s06yp1wz,e4abdf92,Male
kvbdpgpw,e4abdf92,Male
a7d5ta4p,e4abdf92,Male
3hhwwtwe,e4abdf92,Male
21zhoz6t,e4abdf92,Female
r08dujg0,e4abdf92,Male
ynf0h9eh,e4abdf92,Male
vbz1hb8u,e4abdf92,Female
mehulcp5,e4abdf92,Female
sg0rp6pl,e4abdf92,Female
8q9evj8c,e4abdf92,Male
lvtq5pbf,e4abdf92,Female
jp0ans6v,e4abdf92,Female
du2khh9d,e4abdf92,Male
5eeflk53,e4abdf92,Male
ohz2be8s,e4abdf92,Female
x1f8fub6,e4abdf92,Male
5omyqtbm,e4abdf92,Female
3d0hq8nh,e4abdf92,Female
h2rnk37b,e4abdf92,Male
angppw95,e4abdf92,Male
m076eted,e4abdf92,Female
4p1lk2pn,e4abdf92,Female
w59k42wr,e4abdf92,Male
sx6gkzbb,e4abdf92,Female
a5e7uhoi,e4abdf92,Female
bl7bmhwh,e4abdf92,Female
ag0zpahu,12b9d486,Private School
i6nctqoo,12b9d486,Public School
gyur9wcn,12b9d486,Public School
wdc4tvk9,12b9d486,Public School
mc6wiotv,12b9d486,Public School
c2arc7of,12b9d486,Private School
kdh7zxyn,12b9d486,Public School
ow9325k2,12b9d486,Public School
xvyy2pzk,12b9d486,Public School
5tyq5lbo,12b9d486,Public School
1pye0vbr,12b9d486,Private School
o74ftoae,12b9d486,Private School
c5jdsthx,12b9d486,Public School
nydo0p8z,12b9d486,Private School
i8q5rwim,12b9d486,Private School
8xr6rx42,12b9d486,Public School
xfvnk9o2,12b9d486,Public School
8bkyzy8p,12b9d486,Public School
l5p4stsm,12b9d486,Public School
ku8j4vjx,12b9d486,Public School
s06yp1wz,12b9d486,Public School
kvbdpgpw,12b9d486,Private School
a7d5ta4p,12b9d486,Private School
3hhwwtwe,12b9d486,Private School
21zhoz6t,12b9d486,Public School
r08dujg0,12b9d486,Public School
ynf0h9eh,12b9d486,Private School
vbz1hb8u,12b9d486,Public School
mehulcp5,12b9d486,Private School
sg0rp6pl,12b9d486,Public School
8q9evj8c,12b9d486,Public School
lvtq5pbf,12b9d486,Public School
jp0ans6v,12b9d486,Public School
du2khh9d,12b9d486,Private School
5eeflk53,12b9d486,Public School
ohz2be8s,12b9d486,Public School
x1f8fub6,12b9d486,Private School
5omyqtbm,12b9d486,Private School
3d0hq8nh,12b9d486,Public School
h2rnk37b,12b9d486,Private School
angppw95,12b9d486,Public School
m076eted,12b9d486,Private School
4p1lk2pn,12b9d486,Public School
w59k42wr,12b9d486,Private School
sx6gkzbb,12b9d486,Public School
a5e7uhoi,12b9d486,Public School
bl7bmhwh,12b9d486,Public School
ag0zpahu,4176dea7,25%
i6nctqoo,4176dea7,No study grant
gyur9wcn,4176dea7,No study grant
wdc4tvk9,4176dea7,No study grant
mc6wiotv,4176dea7,No study grant
c2arc7of,4176dea7,No study grant
kdh7zxyn,4176dea7,No study grant
ow9325k2,4176dea7,No study grant
xvyy2pzk,4176dea7,No study grant
5tyq5lbo,4176dea7,No study grant
1pye0vbr,4176dea7,No study grant
o74ftoae,4176dea7,No study grant
c5jdsthx,4176dea7,No study grant
nydo0p8z,4176dea7,No study grant
i8q5rwim,4176dea7,Full study grant
8xr6rx42,4176dea7,No study grant
xfvnk9o2,4176dea7,No study grant
8bkyzy8p,4176dea7,No study grant
l5p4stsm,4176dea7,No study grant
ku8j4vjx,4176dea7,No study grant
s06yp1wz,4176dea7,No study grant
kvbdpgpw,4176dea7,No study grant
a7d5ta4p,4176dea7,50%
3hhwwtwe,4176dea7,No study grant
21zhoz6t,4176dea7,No study grant
r08dujg0,4176dea7,No study grant
ynf0h9eh,4176dea7,No study grant
vbz1hb8u,4176dea7,No study grant
mehulcp5,4176dea7,No study grant
sg0rp6pl,4176dea7,No study grant
8q9evj8c,4176dea7,No study grant
lvtq5pbf,4176dea7,No study grant
jp0ans6v,4176dea7,No study grant
du2khh9d,4176dea7,No study grant
5eeflk53,4176dea7,No study grant
ohz2be8s,4176dea7,No study grant
x1f8fub6,4176dea7,No study grant
5omyqtbm,4176dea7,No study grant
3d0hq8nh,4176dea7,No study grant
h2rnk37b,4176dea7,No study grant
angppw95,4176dea7,No study grant
m076eted,4176dea7,No study grant
4p1lk2pn,4176dea7,No study grant
w59k42wr,4176dea7,No study grant
sx6gkzbb,4176dea7,50%
a5e7uhoi,4176dea7,No study grant
bl7bmhwh,4176dea7,No study grant
ag0zpahu,458111ca,No
i6nctqoo,458111ca,No
gyur9wcn,458111ca,Yes
wdc4tvk9,458111ca,Yes
mc6wiotv,458111ca,No
c2arc7of,458111ca,Yes
kdh7zxyn,458111ca,No
ow9325k2,458111ca,Yes
xvyy2pzk,458111ca,Yes
5tyq5lbo,458111ca,Yes
1pye0vbr,458111ca,No
o74ftoae,458111ca,Yes
c5jdsthx,458111ca,Yes
nydo0p8z,458111ca,Yes
i8q5rwim,458111ca,Yes
8xr6rx42,458111ca,Yes
xfvnk9o2,458111ca,No
8bkyzy8p,458111ca,Yes
l5p4stsm,458111ca,Yes
ku8j4vjx,458111ca,No
s06yp1wz,458111ca,No
kvbdpgpw,458111ca,Yes
a7d5ta4p,458111ca,No
3hhwwtwe,458111ca,Yes
21zhoz6t,458111ca,No
r08dujg0,458111ca,No
ynf0h9eh,458111ca,No
vbz1hb8u,458111ca,No
mehulcp5,458111ca,Yes
sg0rp6pl,458111ca,Yes
8q9evj8c,458111ca,Yes
lvtq5pbf,458111ca,No
jp0ans6v,458111ca,No
du2khh9d,458111ca,Yes
5eeflk53,458111ca,Yes
ohz2be8s,458111ca,No
x1f8fub6,458111ca,Yes
5omyqtbm,458111ca,No
3d0hq8nh,458111ca,No
h2rnk37b,458111ca,Yes
angppw95,458111ca,Yes
m076eted,458111ca,Yes
4p1lk2pn,458111ca,No
w59k42wr,458111ca,No
sx6gkzbb,458111ca,Yes
a5e7uhoi,458111ca,No
bl7bmhwh,458111ca,Yes
ag0zpahu,d83e6187,Average
i6nctqoo,d83e6187,Average
gyur9wcn,d83e6187,Average
wdc4tvk9,d83e6187,Above Average
mc6wiotv,d83e6187,Average
c2arc7of,d83e6187,Above Average
kdh7zxyn,d83e6187,Average
ow9325k2,d83e6187,Above Average
xvyy2pzk,d83e6187,Above Average
5tyq5lbo,d83e6187,Average
1pye0vbr,d83e6187,Above Average
o74ftoae,d83e6187,Above Average
c5jdsthx,d83e6187,Above Average
nydo0p8z,d83e6187,Average
i8q5rwim,d83e6187,Average
8xr6rx42,d83e6187,Low
xfvnk9o2,d83e6187,Average
8bkyzy8p,d83e6187,Above Average
l5p4stsm,d83e6187,Average
ku8j4vjx,d83e6187,Average
s06yp1wz,d83e6187,Average
kvbdpgpw,d83e6187,Average
a7d5ta4p,d83e6187,Average
3hhwwtwe,d83e6187,Average
21zhoz6t,d83e6187,Average
r08dujg0,d83e6187,Low
ynf0h9eh,d83e6187,Above Average
vbz1hb8u,d83e6187,Above Average
mehulcp5,d83e6187,Above Average
sg0rp6pl,d83e6187,Above Average
8q9evj8c,d83e6187,Above Average
lvtq5pbf,d83e6187,Average
jp0ans6v,d83e6187,Average
du2khh9d,d83e6187,Average
5eeflk53,d83e6187,Low
ohz2be8s,d83e6187,Average
x1f8fub6,d83e6187,Above Average
5omyqtbm,d83e6187,Low
3d0hq8nh,d83e6187,Average
h2rnk37b,d83e6187,Average
angppw95,d83e6187,Average
m076eted,d83e6187,Above Average
4p1lk2pn,d83e6187,Average
w59k42wr,d83e6187,Low
sx6gkzbb,d83e6187,Above Average
a5e7uhoi,d83e6187,Above Average
bl7bmhwh,d83e6187,High
ag0zpahu,5e1230d0,Living with family
i6nctqoo,5e1230d0,Renting
gyur9wcn,5e1230d0,Renting
wdc4tvk9,5e1230d0,Living with family
mc6wiotv,5e1230d0,Renting
c2arc7of,5e1230d0,Renting
kdh7zxyn,5e1230d0,Renting
ow9325k2,5e1230d0,Renting
xvyy2pzk,5e1230d0,Dormitory
5tyq5lbo,5e1230d0,Renting
1pye0vbr,5e1230d0,Living with family
o74ftoae,5e1230d0,Renting
c5jdsthx,5e1230d0,Renting
nydo0p8z,5e1230d0,Renting
i8q5rwim,5e1230d0,Living with family
8xr6rx42,5e1230d0,Living with family
xfvnk9o2,5e1230d0,Renting
8bkyzy8p,5e1230d0,Renting
l5p4stsm,5e1230d0,Renting
ku8j4vjx,5e1230d0,Renting
s06yp1wz,5e1230d0,Living with family
kvbdpgpw,5e1230d0,Private house
a7d5ta4p,5e1230d0,Renting
3hhwwtwe,5e1230d0,Renting
21zhoz6t,5e1230d0,Living with family
r08dujg0,5e1230d0,Renting
ynf0h9eh,5e1230d0,Renting
vbz1hb8u,5e1230d0,Living with family
mehulcp5,5e1230d0,Living with family
sg0rp6pl,5e1230d0,Living with family
8q9evj8c,5e1230d0,Living with family
lvtq5pbf,5e1230d0,Living with family
jp0ans6v,5e1230d0,Renting
du2khh9d,5e1230d0,Renting
5eeflk53,5e1230d0,Living with family
ohz2be8s,5e1230d0,Renting
x1f8fub6,5e1230d0,Renting
5omyqtbm,5e1230d0,Living with family
3d0hq8nh,5e1230d0,Renting
h2rnk37b,5e1230d0,Renting
angppw95,5e1230d0,Renting
m076eted,5e1230d0,Renting
4p1lk2pn,5e1230d0,Living with family
w59k42wr,5e1230d0,Renting
sx6gkzbb,5e1230d0,Living with family
a5e7uhoi,5e1230d0,Renting
bl7bmhwh,5e1230d0,Living with family
ag0zpahu,5d6fcd06,Personal Vehicle
i6nctqoo,5d6fcd06,Personal Vehicle
gyur9wcn,5d6fcd06,Personal Vehicle
wdc4tvk9,5d6fcd06,Personal Vehicle
mc6wiotv,5d6fcd06,Personal Vehicle
c2arc7of,5d6fcd06,Personal Vehicle
kdh7zxyn,5d6fcd06,Personal Vehicle
ow9325k2,5d6fcd06,Personal Vehicle
xvyy2pzk,5d6fcd06,Personal Vehicle
5tyq5lbo,5d6fcd06,Personal Vehicle
1pye0vbr,5d6fcd06,Personal Vehicle
o74ftoae,5d6fcd06,Personal Vehicle
c5jdsthx,5d6fcd06,Personal Vehicle
nydo0p8z,5d6fcd06,Personal Vehicle
i8q5rwim,5d6fcd06,Personal Vehicle
8xr6rx42,5d6fcd06,Personal Vehicle
xfvnk9o2,5d6fcd06,Personal Vehicle
8bkyzy8p,5d6fcd06,Personal Vehicle
l5p4stsm,5d6fcd06,Personal Vehicle
ku8j4vjx,5d6fcd06,Personal Vehicle
s06yp1wz,5d6fcd06,Personal Vehicle
kvbdpgpw,5d6fcd06,Personal Vehicle
a7d5ta4p,5d6fcd06,Personal Vehicle
3hhwwtwe,5d6fcd06,Personal Vehicle
21zhoz6t,5d6fcd06,Personal Vehicle
r08dujg0,5d6fcd06,Personal Vehicle
ynf0h9eh,5d6fcd06,Personal Vehicle
vbz1hb8u,5d6fcd06,Personal Vehicle
mehulcp5,5d6fcd06,Car
sg0rp6pl,5d6fcd06,Personal Vehicle
8q9evj8c,5d6fcd06,Personal Vehicle
lvtq5pbf,5d6fcd06,Personal Vehicle
jp0ans6v,5d6fcd06,Personal Vehicle
du2khh9d,5d6fcd06,Personal Vehicle
5eeflk53,5d6fcd06,Personal Vehicle
ohz2be8s,5d6fcd06,Personal Vehicle
x1f8fub6,5d6fcd06,Personal Vehicle
5omyqtbm,5d6fcd06,Personal Vehicle
3d0hq8nh,5d6fcd06,Personal Vehicle
h2rnk37b,5d6fcd06,Personal Vehicle
angppw95,5d6fcd06,Personal Vehicle
m076eted,5d6fcd06,Personal Vehicle
4p1lk2pn,5d6fcd06,Personal Vehicle
w59k42wr,5d6fcd06,Personal Vehicle
sx6gkzbb,5d6fcd06,Personal Vehicle
a5e7uhoi,5d6fcd06,Personal Vehicle
bl7bmhwh,5d6fcd06,Personal Vehicle
ag0zpahu,ea34c1f2,Business
i6nctqoo,ea34c1f2,Business
gyur9wcn,ea34c1f2,Business
wdc4tvk9,ea34c1f2,Business
mc6wiotv,ea34c1f2,Business
c2arc7of,ea34c1f2,Business
kdh7zxyn,ea34c1f2,Business
ow9325k2,ea34c1f2,Business
xvyy2pzk,ea34c1f2,Business
5tyq5lbo,ea34c1f2,Business
1pye0vbr,ea34c1f2,Business
o74ftoae,ea34c1f2,Business
c5jdsthx,ea34c1f2,Business
nydo0p8z,ea34c1f2,Business
i8q5rwim,ea34c1f2,Business
8xr6rx42,ea34c1f2,Business
xfvnk9o2,ea34c1f2,Business
8bkyzy8p,ea34c1f2,Business
l5p4stsm,ea34c1f2,Business
ku8j4vjx,ea34c1f2,Business
s06yp1wz,ea34c1f2,Business
kvbdpgpw,ea34c1f2,Business
a7d5ta4p,ea34c1f2,Business
3hhwwtwe,ea34c1f2,Business
21zhoz6t,ea34c1f2,Business
r08dujg0,ea34c1f2,Business
ynf0h9eh,ea34c1f2,Business
vbz1hb8u,ea34c1f2,Business
mehulcp5,ea34c1f2,Business
sg0rp6pl,ea34c1f2,Business
8q9evj8c,ea34c1f2,Business
lvtq5pbf,ea34c1f2,Business
jp0ans6v,ea34c1f2,Business
du2khh9d,ea34c1f2,Business
5eeflk53,ea34c1f2,Business
ohz2be8s,ea34c1f2,Business
x1f8fub6,ea34c1f2,Business
5omyqtbm,ea34c1f2,Business
3d0hq8nh,ea34c1f2,Business
h2rnk37b,ea34c1f2,Business
angppw95,ea34c1f2,Business
m076eted,ea34c1f2,Business
4p1lk2pn,ea34c1f2,Business
w59k42wr,ea34c1f2,Business
sx6gkzbb,ea34c1f2,Business
a5e7uhoi,ea34c1f2,Business
bl7bmhwh,ea34c1f2,Business
ag0zpahu,c540dc46,High school graduate
i6nctqoo,c540dc46,High school graduate
gyur9wcn,c540dc46,University graduate
wdc4tvk9,c540dc46,High school graduate
mc6wiotv,c540dc46,High school graduate
c2arc7of,c540dc46,University graduate
kdh7zxyn,c540dc46,High school graduate
ow9325k2,c540dc46,High school graduate
xvyy2pzk,c540dc46,High school graduate
5tyq5lbo,c540dc46,University graduate
1pye0vbr,c540dc46,High school graduate
o74ftoae,c540dc46,High school graduate
c5jdsthx,c540dc46,High school graduate
nydo0p8z,c540dc46,University graduate
i8q5rwim,c540dc46,High school graduate
8xr6rx42,c540dc46,High school graduate
xfvnk9o2,c540dc46,High school graduate
8bkyzy8p,c540dc46,High school graduate
l5p4stsm,c540dc46,High school graduate
ku8j4vjx,c540dc46,High school graduate
s06yp1wz,c540dc46,University graduate
kvbdpgpw,c540dc46,High school graduate
a7d5ta4p,c540dc46,High school graduate
3hhwwtwe,c540dc46,High school graduate
21zhoz6t,c540dc46,University graduate
r08dujg0,c540dc46,University graduate
ynf0h9eh,c540dc46,High school graduate
vbz1hb8u,c540dc46,High school graduate
mehulcp5,c540dc46,High school graduate
sg0rp6pl,c540dc46,High school graduate
8q9evj8c,c540dc46,High school graduate
lvtq5pbf,c540dc46,High school graduate
jp0ans6v,c540dc46,High school graduate
du2khh9d,c540dc46,University graduate
5eeflk53,c540dc46,High school graduate
ohz2be8s,c540dc46,High school graduate
x1f8fub6,c540dc46,University graduate
5omyqtbm,c540dc46,High school graduate
3d0hq8nh,c540dc46,High school graduate
h2rnk37b,c540dc46,High school graduate
angppw95,c540dc46,High school graduate
m076eted,c540dc46,High school graduate
4p1lk2pn,c540dc46,High school graduate
w59k42wr,c540dc46,High school graduate
sx6gkzbb,c540dc46,High school graduate
a5e7uhoi,c540dc46,High school graduate
bl7bmhwh,c540dc46,University graduate
ag0zpahu,f655c403,Parents have advanced academic degrees
i6nctqoo,f655c403,Parents have no advanced academic degrees
gyur9wcn,f655c403,Parents have no advanced academic degrees
wdc4tvk9,f655c403,Parents have advanced academic degrees
mc6wiotv,f655c403,Parents have no advanced academic degrees
c2arc7of,f655c403,Parents have no advanced academic degrees
kdh7zxyn,f655c403,Parents have no advanced academic degrees
ow9325k2,f655c403,Parents have no advanced academic degrees
xvyy2pzk,f655c403,Parents have advanced academic degrees
5tyq5lbo,f655c403,Parents have no advanced academic degrees
1pye0vbr,f655c403,Parents have advanced academic degrees
o74ftoae,f655c403,Parents have no advanced academic degrees
c5jdsthx,f655c403,Parents have advanced academic degrees
nydo0p8z,f655c403,Parents have no advanced academic degrees
i8q5rwim,f655c403,Parents have no advanced academic degrees
8xr6rx42,f655c403,Parents have advanced academic degrees
xfvnk9o2,f655c403,Parents have advanced academic degrees
8bkyzy8p,f655c403,Parents have advanced academic degrees
l5p4stsm,f655c403,Parents have advanced academic degrees
ku8j4vjx,f655c403,Parents have advanced academic degrees
s06yp1wz,f655c403,Parents have advanced academic degrees
kvbdpgpw,f655c403,Parents have no advanced academic degrees
a7d5ta4p,f655c403,Parents have no advanced academic degrees
3hhwwtwe,f655c403,Parents have no advanced academic degrees
21zhoz6t,f655c403,Parents have no advanced academic degrees
r08dujg0,f655c403,Parents have no advanced academic degrees
ynf0h9eh,f655c403,Parents have no advanced academic degrees
vbz1hb8u,f655c403,Parents have no advanced academic degrees
mehulcp5,f655c403,Parents have no advanced academic degrees
sg0rp6pl,f655c403,Parents have no advanced academic degrees
8q9evj8c,f655c403,Parents have no advanced academic degrees
lvtq5pbf,f655c403,Parents have no advanced academic degrees
jp0ans6v,f655c403,Parents have no advanced academic degrees
du2khh9d,f655c403,Parents have no advanced academic degrees
5eeflk53,f655c403,Parents have advanced academic degrees
ohz2be8s,f655c403,Parents have advanced academic degrees
x1f8fub6,f655c403,Parents have no advanced academic degrees
5omyqtbm,f655c403,Parents have no advanced academic degrees
3d0hq8nh,f655c403,Parents have no advanced academic degrees
h2rnk37b,f655c403,Parents have advanced academic degrees
angppw95,f655c403,Parents have advanced academic degrees
m076eted,f655c403,Parents have no advanced academic degrees
4p1lk2pn,f655c403,Parents have no advanced academic degrees
w59k42wr,f655c403,Parents have advanced academic degrees
sx6gkzbb,f655c403,Parents have no advanced academic degrees
a5e7uhoi,f655c403,Parents have advanced academic degrees
bl7bmhwh,f655c403,Parents have no advanced academic degrees
ag0zpahu,5e93a457,"find out where the shop is in relation to somewhere I know, ask my friend to tell me the directions"
i6nctqoo,5e93a457,"find out where the shop is in relation to somewhere I know, use a map"
gyur9wcn,5e93a457,"ask my friend to tell me the directions, use a map"
wdc4tvk9,5e93a457,"find out where the shop is in relation to somewhere I know, use a map"
mc6wiotv,5e93a457,"find out where the shop is in relation to somewhere I know, ask my friend to tell me the directions, use a map"
c2arc7of,5e93a457,write down the street directions I need to remember
kdh7zxyn,5e93a457,find out where the shop is in relation to somewhere I know
ow9325k2,5e93a457,find out where the shop is in relation to somewhere I know
xvyy2pzk,5e93a457,"ask my friend to tell me the directions, use a map"
5tyq5lbo,5e93a457,"find out where the shop is in relation to somewhere I know, use a map"
1pye0vbr,5e93a457,write down the street directions I need to remember
o74ftoae,5e93a457,"ask my friend to tell me the directions, use a map"
c5jdsthx,5e93a457,"find out where the shop is in relation to somewhere I know, ask my friend to tell me the directions"
nydo0p8z,5e93a457,find out where the shop is in relation to somewhere I know
i8q5rwim,5e93a457,"find out where the shop is in relation to somewhere I know, write down the street directions I need to remember, use a map"
8xr6rx42,5e93a457,"ask my friend to tell me the directions, use a map"
xfvnk9o2,5e93a457,use a map
8bkyzy8p,5e93a457,use a map
l5p4stsm,5e93a457,"find out where the shop is in relation to somewhere I know, ask my friend to tell me the directions, write down the street directions I need to remember, use a map"
ku8j4vjx,5e93a457,use a map
s06yp1wz,5e93a457,"find out where the shop is in relation to somewhere I know, ask my friend to tell me the directions, use a map"
kvbdpgpw,5e93a457,use a map
a7d5ta4p,5e93a457,find out where the shop is in relation to somewhere I know
3hhwwtwe,5e93a457,"find out where the shop is in relation to somewhere I know, ask my friend to tell me the directions, use a map"
21zhoz6t,5e93a457,"find out where the shop is in relation to somewhere I know, ask my friend to tell me the directions, use a map"
r08dujg0,5e93a457,"find out where the shop is in relation to somewhere I know, ask my friend to tell me the directions, use a map"
ynf0h9eh,5e93a457,"find out where the shop is in relation to somewhere I know, ask my friend to tell me the directions, use a map"
vbz1hb8u,5e93a457,"find out where the shop is in relation to somewhere I know, ask my friend to tell me the directions, use a map"
mehulcp5,5e93a457,"find out where the shop is in relation to somewhere I know, use a map"
sg0rp6pl,5e93a457,use a map
8q9evj8c,5e93a457,use a map
lvtq5pbf,5e93a457,"find out where the shop is in relation to somewhere I know, use a map"
jp0ans6v,5e93a457,use a map
du2khh9d,5e93a457,find out where the shop is in relation to somewhere I know
5eeflk53,5e93a457,find out where the shop is in relation to somewhere I know
ohz2be8s,5e93a457,find out where the shop is in relation to somewhere I know
x1f8fub6,5e93a457,"find out where the shop is in relation to somewhere I know, use a map"
5omyqtbm,5e93a457,"ask my friend to tell me the directions, use a map"
3d0hq8nh,5e93a457,"find out where the shop is in relation to somewhere I know, ask my friend to tell me the directions, use a map"
h2rnk37b,5e93a457,find out where the shop is in relation to somewhere I know
angppw95,5e93a457,"find out where the shop is in relation to somewhere I know, ask my friend to tell me the directions"
m076eted,5e93a457,"find out where the shop is in relation to somewhere I know, ask my friend to tell me the directions, use a map"
4p1lk2pn,5e93a457,find out where the shop is in relation to somewhere I know
w59k42wr,5e93a457,use a map
sx6gkzbb,5e93a457,"find out where the shop is in relation to somewhere I know, ask my friend to tell me the directions"
a5e7uhoi,5e93a457,"find out where the shop is in relation to somewhere I know, use a map"
bl7bmhwh,5e93a457,"find out where the shop is in relation to somewhere I know, ask my friend to tell me the directions, use a map"
ag0zpahu,55c2081c,"seeing the diagrams, listening"
i6nctqoo,55c2081c,"reading the words, watching the actions"
gyur9wcn,55c2081c,seeing the diagrams
wdc4tvk9,55c2081c,"seeing the diagrams, reading the words"
mc6wiotv,55c2081c,"seeing the diagrams, listening, reading the words"
c2arc7of,55c2081c,seeing the diagrams
kdh7zxyn,55c2081c,"listening, watching the actions"
ow9325k2,55c2081c,"seeing the diagrams, reading the words, watching the actions"
xvyy2pzk,55c2081c,"seeing the diagrams, reading the words"
5tyq5lbo,55c2081c,"listening, watching the actions"
1pye0vbr,55c2081c,seeing the diagrams
o74ftoae,55c2081c,"listening, reading the words"
c5jdsthx,55c2081c,listening
nydo0p8z,55c2081c,reading the words
i8q5rwim,55c2081c,"seeing the diagrams, listening, reading the words"
8xr6rx42,55c2081c,"seeing the diagrams, watching the actions"
xfvnk9o2,55c2081c,"listening, watching the actions"
8bkyzy8p,55c2081c,"seeing the diagrams, listening"
l5p4stsm,55c2081c,"seeing the diagrams, listening, reading the words, watching the actions"
ku8j4vjx,55c2081c,"seeing the diagrams, listening, watching the actions"
s06yp1wz,55c2081c,"seeing the diagrams, reading the words, watching the actions"
kvbdpgpw,55c2081c,listening
a7d5ta4p,55c2081c,listening
3hhwwtwe,55c2081c,"seeing the diagrams, reading the words, watching the actions"
21zhoz6t,55c2081c,"listening, reading the words"
r08dujg0,55c2081c,"seeing the diagrams, listening"
ynf0h9eh,55c2081c,"seeing the diagrams, reading the words"
vbz1hb8u,55c2081c,"seeing the diagrams, listening"
mehulcp5,55c2081c,reading the words
sg0rp6pl,55c2081c,watching the actions
8q9evj8c,55c2081c,"seeing the diagrams, listening"
lvtq5pbf,55c2081c,reading the words
jp0ans6v,55c2081c,seeing the diagrams
du2khh9d,55c2081c,watching the actions
5eeflk53,55c2081c,"seeing the diagrams, listening, reading the words"
ohz2be8s,55c2081c,"listening, watching the actions"
x1f8fub6,55c2081c,"seeing the diagrams, watching the actions"
5omyqtbm,55c2081c,watching the actions
3d0hq8nh,55c2081c,"listening, watching the actions"
h2rnk37b,55c2081c,listening
angppw95,55c2081c,"listening, reading the words"
m076eted,55c2081c,"listening, reading the words, watching the actions"
4p1lk2pn,55c2081c,listening
w59k42wr,55c2081c,listening
sx6gkzbb,55c2081c,"listening, watching the actions"
a5e7uhoi,55c2081c,"seeing the diagrams, listening, reading the words"
bl7bmhwh,55c2081c,"seeing the diagrams, listening, watching the actions"
ag0zpahu,13b0ca4d,"use a map and see where the places are, read about the tour on the itinerary"
i6nctqoo,13b0ca4d,"look at details about the highlights and activities on the tour, talk with the person who planned the tour or others who are going on the tour"
gyur9wcn,13b0ca4d,"look at details about the highlights and activities on the tour, read about the tour on the itinerary"
wdc4tvk9,13b0ca4d,"look at details about the highlights and activities on the tour, use a map and see where the places are"
mc6wiotv,13b0ca4d,"look at details about the highlights and activities on the tour, read about the tour on the itinerary"
c2arc7of,13b0ca4d,look at details about the highlights and activities on the tour
kdh7zxyn,13b0ca4d,"look at details about the highlights and activities on the tour, use a map and see where the places are"
ow9325k2,13b0ca4d,"look at details about the highlights and activities on the tour, use a map and see where the places are"
xvyy2pzk,13b0ca4d,"look at details about the highlights and activities on the tour, read about the tour on the itinerary, talk with the person who planned the tour or others who are going on the tour"
5tyq5lbo,13b0ca4d,"look at details about the highlights and activities on the tour, use a map and see where the places are"
1pye0vbr,13b0ca4d,look at details about the highlights and activities on the tour
o74ftoae,13b0ca4d,"look at details about the highlights and activities on the tour, talk with the person who planned the tour or others who are going on the tour"
c5jdsthx,13b0ca4d,"look at details about the highlights and activities on the tour, read about the tour on the itinerary"
nydo0p8z,13b0ca4d,talk with the person who planned the tour or others who are going on the tour
i8q5rwim,13b0ca4d,"look at details about the highlights and activities on the tour, use a map and see where the places are, read about the tour on the itinerary"
8xr6rx42,13b0ca4d,"look at details about the highlights and activities on the tour, use a map and see where the places are, talk with the person who planned the tour or others who are going on the tour"
