,53471ba6,e4abdf92,12b9d486,4176dea7,458111ca,d83e6187,5e1230d0,5d6fcd06,ea34c1f2,c540dc46,f655c403,5e93a457,55c2081c,13b0ca4d,ea03dc7d,84233686,0584fa87,862f3e7d,d9571edc,cddd6aba,941a8ad4,3f289672,e1b05bab,c3ef02ba,2456cb6e,bcafdaa2,b15b09ed,ad7d2949,ceaf7723,d7b569e2,eafe3f7e,0df4ccef,2577350c,933f24bb,aec3506a,c071772b,a22f3dfe,8e3b18bb,fdf83b4d,a21cbadf,81e6f241,ff09f980,1c47adbb,88ae7cbe,2b81fabb,d0cba6fe,7a456514,c1e93a0f,efcf5c0a,bba13758,c69addaf,da98af4c,b1a0fde2,93383b66,6db2fafe,305b944b,55ac0acf,0dbc6d8c,c69c2a0c,4ae8f4d4,cca3dfc1,32afe6ec,cce351ed,7ae820bc,452d871d,8cee1ded,d094a061,5bba3b43,cba0ebdd,8ae8acdf,f349fdac,9bd5bc72,cc3e3d5e,f1ef4ac7,343d7bb4,4788649c,aa07f020,fb5bbcc5,0dc5dafe,fae1b19e,e85e652f,8ccab9d1
1pye0vbr,2005,Male,Private School,No study grant,No,Above Average,Living with family,Personal Vehicle,Business,High school graduate,Parents have advanced academic degrees,write down the street directions I need to remember,seeing the diagrams,look at details about the highlights and activities on the tour,Communicating with others through discussion,use examples and applications,use graphs showing different options for different time periods,"watch others play the game before joining in, read the instructions",described what was wrong,start using it and learn by trial and error,interesting design and visual features,examples where the project has been used successfully,use examples of good and poor photos showing how to improve them,"question and answer, talk, group discussion, or guest speakers",from somebody who talks it through with me,to view a video of the property,advice from someone who has done it before,More than 20 hours,Sometimes,Sometimes,Yes,Yes,Miss some sessions,Usually,Sometimes,Positive,Never,Positive,Study in group with friends,Very good,More than 3 hours,Yes,No,Moderate,No,Yes,Usually,Learning Through Lectures,Positive,Neutral,Yes,Moderate,High,No,Yes,Good,Good,Average,Yes,No,Moderate,Usually,No,No,Usually,Yes,No,No,Yes,Yes,Yes,Yes,High,Sometimes,Yes,Highly Motivated to Learn the Subject,Strong Understanding of Prerequisite Subjects,Highly Focused,Enjoy Exploring the Subject in Depth,Highly Interested in the Subject Content,Effectively Interact with the Lecturer,Quickly Grasp and Understand Key Concepts of the Subject
o74ftoae,2004,Male,Private School,No study grant,Yes,Above Average,Renting,Personal Vehicle,Business,High school graduate,Parents have no advanced academic degrees,"ask my friend to tell me the directions, use a map","listening, reading the words","look at details about the highlights and activities on the tour, talk with the person who planned the tour or others who are going on the tour",Communicating with others through discussion,"see patterns in things, use examples and applications",consider examples of each option using my financial information,listen to somebody explaining it and ask questions,"gave me something to read to explain what was wrong, described what was wrong","read the written instructions that came with the program, talk with people who know about the program","videos showing how to do or make things, audio channels where I can listen to podcasts or interviews","diagrams to show the project stages with charts of benefits and costs, a written report describing the main features of the project","use the written instructions about what to do, use diagrams showing the camera and what each part does","demonstrations, models or practical sessions, question and answer, talk, group discussion, or guest speakers","using examples from what I have done, from somebody who talks it through with me","to view a video of the property, a printed description of the rooms and features",written instructions that came with the parts for the table,More than 20 hours,Sometimes,Sometimes,No,No,Full attendance,Sometimes,Sometimes,Positive,Sometimes,Positive,Study in group with friends,Good,From 1 to 3 hours,Yes,Yes,Moderate,Yes,No,Sometimes,Self-Directed Learning,Positive,Useful,Yes,Good,High,Yes,Yes,Good,Good,Good,Yes,Yes,High,Sometimes,Yes,Yes,Sometimes,Yes,No,Yes,Yes,Yes,No,Yes,High,Sometimes,Yes,Highly Motivated to Learn the Subject,Strong Understanding of Prerequisite Subjects,Highly Focused,Enjoy Exploring the Subject in Depth,Highly Interested in the Subject Content,Effectively Interact with the Lecturer,Quickly Grasp and Understand Key Concepts of the Subject
c5jdsthx,2004,Female,Public School,No study grant,Yes,Above Average,Renting,Personal Vehicle,Business,High school graduate,Parents have advanced academic degrees,"find out where the shop is in relation to somewhere I know, ask my friend to tell me the directions",listening,"look at details about the highlights and activities on the tour, read about the tour on the itinerary",Communicating with others through discussion,"like to talk things through, see patterns in things, use examples and applications",consider examples of each option using my financial information,"use the diagrams that explain the various stages, moves and strategies in the game","gave me something to read to explain what was wrong, described what was wrong, showed me a diagram of what was wrong",talk with people who know about the program,"videos showing how to do or make things, interesting design and visual features, audio channels where I can listen to podcasts or interviews",examples where the project has been used successfully,use diagrams showing the camera and what each part does,"question and answer, talk, group discussion, or guest speakers",from somebody who talks it through with me,to view a video of the property,diagrams showing each stage of the assembly,Less than 5 hours,Never,Sometimes,No,No,Miss some sessions,Sometimes,Sometimes,No impact,Usually,Positive,Study in group with friends,Good,More than 3 hours,Yes,Yes,Moderate,Yes,Yes,Usually,Learning Through Practice,Positive,Neutral,No,Bad,High,No,No,Good,Average,Average,Yes,Yes,Moderate,Usually,Yes,Yes,Sometimes,Yes,Yes,Yes,No,No,Yes,Yes,High,Usually,Yes,Low Motivation to Learn the Subject,Lack of Clear Understanding of Prerequisite Subjects,Often Lose Focus,Not Deeply Curious About the Subject,Not Very Interested in the Subject Content,Do Not Want to Interact with the Lecturer,Find the Subject's Concepts Difficult to Understand
nydo0p8z,2003,Female,Private School,No study grant,Yes,Average,Renting,Personal Vehicle,Business,University graduate,Parents have no advanced academic degrees,find out where the shop is in relation to somewhere I know,reading the words,talk with the person who planned the tour or others who are going on the tour,Communicating with others through discussion,"like to talk things through, see patterns in things, use examples and applications, read books, articles and handouts",use graphs showing different options for different time periods,"watch others play the game before joining in, listen to somebody explaining it and ask questions, read the instructions","gave me something to read to explain what was wrong, showed me a diagram of what was wrong",start using it and learn by trial and error,audio channels where I can listen to podcasts or interviews,examples where the project has been used successfully,use the written instructions about what to do,"diagrams, charts, maps or graphs",using graphs showing what I achieved,a plan showing the rooms and a map of the area,written instructions that came with the parts for the table,Less than 5 hours,Sometimes,Sometimes,No,No,Full attendance,Sometimes,Usually,Positive,Sometimes,No impact,Self-preparation,Good,More than 3 hours,Yes,No,Moderate,Yes,Yes,Sometimes,Learning Through Practice,Positive,Useful,Yes,Moderate,Moderate,Yes,Yes,Average,Average,Average,Yes,Yes,Moderate,Sometimes,Yes,Yes,Usually,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Moderate,No,Yes,Highly Motivated to Learn the Subject,Strong Understanding of Prerequisite Subjects,Highly Focused,Enjoy Exploring the Subject in Depth,Highly Interested in the Subject Content,Effectively Interact with the Lecturer,Quickly Grasp and Understand Key Concepts of the Subject
i8q5rwim,2003,Male,Private School,Full study grant,Yes,Average,Living with family,Personal Vehicle,Business,High school graduate,Parents have no advanced academic degrees,"find out where the shop is in relation to somewhere I know, write down the street directions I need to remember, use a map","seeing the diagrams, listening, reading the words","look at details about the highlights and activities on the tour, use a map and see where the places are, read about the tour on the itinerary","Applying my knowledge in real situations, Using words well in written communications","like to talk things through, use examples and applications, read books, articles and handouts","consider examples of each option using my financial information, read a print brochure that describes the options in detail, use graphs showing different options for different time periods","watch others play the game before joining in, listen to somebody explaining it and ask questions, use the diagrams that explain the various stages, moves and strategies in the game","gave me something to read to explain what was wrong, used a plastic model to show me what was wrong, showed me a diagram of what was wrong","read the written instructions that came with the program, talk with people who know about the program","videos showing how to do or make things, interesting written descriptions, lists and explanations","diagrams to show the project stages with charts of benefits and costs, an opportunity to discuss the project, examples where the project has been used successfully","use the written instructions about what to do, use examples of good and poor photos showing how to improve them","question and answer, talk, group discussion, or guest speakers, handouts, books, or readings","using examples from what I have done, using a written description of my results","to view a video of the property, a discussion with the owner","diagrams showing each stage of the assembly, advice from someone who has done it before",More than 20 hours,Sometimes,Sometimes,Yes,Yes,Full attendance,Sometimes,Usually,Positive,Sometimes,Positive,Self-preparation,Good,Less than 1 hour,Yes,Yes,High,Yes,No,Sometimes,Self-Directed Learning,Positive,Useful,Yes,Good,Moderate,Yes,Yes,Good,Good,Good,Yes,Yes,High,Sometimes,Yes,Yes,Usually,Yes,Yes,Yes,Yes,Yes,Yes,Yes,High,Usually,Yes,Highly Motivated to Learn the Subject,Strong Understanding of Prerequisite Subjects,Highly Focused,Enjoy Exploring the Subject in Depth,Highly Interested in the Subject Content,Effectively Interact with the Lecturer,Quickly Grasp and Understand Key Concepts of the Subject
8xr6rx42,2002,Male,Public School,No study grant,Yes,Low,Living with family,Personal Vehicle,Business,High school graduate,Parents have advanced academic degrees,"ask my friend to tell me the directions, use a map","seeing the diagrams, watching the actions","look at details about the highlights and activities on the tour, use a map and see where the places are, talk with the person who planned the tour or others who are going on the tour","Applying my knowledge in real situations, Communicating with others through discussion","like to talk things through, see patterns in things","consider examples of each option using my financial information, talk with an expert about the options","watch others play the game before joining in, listen to somebody explaining it and ask questions, use the diagrams that explain the various stages, moves and strategies in the game","gave me something to read to explain what was wrong, used a plastic model to show me what was wrong, described what was wrong","read the written instructions that came with the program, start using it and learn by trial and error","videos showing how to do or make things, interesting written descriptions, lists and explanations","diagrams to show the project stages with charts of benefits and costs, an opportunity to discuss the project","use diagrams showing the camera and what each part does, use examples of good and poor photos showing how to improve them","question and answer, talk, group discussion, or guest speakers, diagrams, charts, maps or graphs","using examples from what I have done, from somebody who talks it through with me","a discussion with the owner, a printed description of the rooms and features, a plan showing the rooms and a map of the area","diagrams showing each stage of the assembly, advice from someone who has done it before",6-10 hours,Sometimes,Never,Yes,No,Miss some sessions,Sometimes,Sometimes,Positive,Sometimes,No impact,Self-preparation,Good,More than 3 hours,Yes,No,Moderate,Yes,Yes,Sometimes,Self-Directed Learning,Positive,Useful,Yes,Moderate,High,No,No,Average,Good,Good,Yes,No,High,Sometimes,Yes,No,Usually,Yes,No,No,Yes,Yes,Yes,Yes,High,Usually,Yes,Highly Motivated to Learn the Subject,Strong Understanding of Prerequisite Subjects,Often Lose Focus,Not Deeply Curious About the Subject,Highly Interested in the Subject Content,Effectively Interact with the Lecturer,Quickly Grasp and Understand Key Concepts of the Subject
xfvnk9o2,2004,Female,Public School,No study grant,No,Average,Renting,Personal Vehicle,Business,High school graduate,Parents have advanced academic degrees,use a map,"listening, watching the actions","look at details about the highlights and activities on the tour, use a map and see where the places are, read about the tour on the itinerary, talk with the person who planned the tour or others who are going on the tour","Applying my knowledge in real situations, Communicating with others through discussion, Using words well in written communications","like to talk things through, see patterns in things, use examples and applications, read books, articles and handouts","consider examples of each option using my financial information, read a print brochure that describes the options in detail, talk with an expert about the options","watch others play the game before joining in, use the diagrams that explain the various stages, moves and strategies in the game","gave me something to read to explain what was wrong, described what was wrong, showed me a diagram of what was wrong","start using it and learn by trial and error, follow the diagrams in a book","videos showing how to do or make things, interesting design and visual features, interesting written descriptions, lists and explanations, audio channels where I can listen to podcasts or interviews","diagrams to show the project stages with charts of benefits and costs, a written report describing the main features of the project","ask questions and talk about the camera and its features, use diagrams showing the camera and what each part does, use examples of good and poor photos showing how to improve them","demonstrations, models or practical sessions, question and answer, talk, group discussion, or guest speakers, diagrams, charts, maps or graphs","from somebody who talks it through with me, using a written description of my results","to view a video of the property, a discussion with the owner, a printed description of the rooms and features, a plan showing the rooms and a map of the area","diagrams showing each stage of the assembly, written instructions that came with the parts for the table, watching a video of a person assembling a similar table",11-20 hours,Sometimes,Never,Yes,Yes,Full attendance,Sometimes,Sometimes,Positive,Sometimes,Positive,Self-preparation,Good,From 1 to 3 hours,Yes,Yes,High,Yes,No,Sometimes,Learning Through Practice,Positive,Useful,Yes,Moderate,Low,Yes,Yes,Average,Average,Average,No,Yes,High,Usually,Yes,Yes,Usually,Yes,Yes,Yes,Yes,Yes,Yes,Yes,High,Usually,Yes,Highly Motivated to Learn the Subject,Strong Understanding of Prerequisite Subjects,Highly Focused,Enjoy Exploring the Subject in Depth,Highly Interested in the Subject Content,Effectively Interact with the Lecturer,Quickly Grasp and Understand Key Concepts of the Subject
8bkyzy8p,2003,Female,Public School,No study grant,Yes,Above Average,Renting,Personal Vehicle,Business,High school graduate,Parents have advanced academic degrees,use a map,"seeing the diagrams, listening","look at details about the highlights and activities on the tour, use a map and see where the places are","Applying my knowledge in real situations, Using words well in written communications","see patterns in things, use examples and applications",consider examples of each option using my financial information,"watch others play the game before joining in, listen to somebody explaining it and ask questions, use the diagrams that explain the various stages, moves and strategies in the game, read the instructions","used a plastic model to show me what was wrong, showed me a diagram of what was wrong",read the written instructions that came with the program,videos showing how to do or make things,diagrams to show the project stages with charts of benefits and costs,use examples of good and poor photos showing how to improve them,"demonstrations, models or practical sessions, question and answer, talk, group discussion, or guest speakers",using examples from what I have done,"to view a video of the property, a plan showing the rooms and a map of the area","diagrams showing each stage of the assembly, written instructions that came with the parts for the table",More than 20 hours,Sometimes,Sometimes,Yes,Yes,Full attendance,Sometimes,Usually,Positive,Sometimes,Positive,Self-preparation,Very good,From 1 to 3 hours,Yes,Yes,High,Yes,No,Sometimes,Learning Through Lectures,Positive,Useful,Yes,Moderate,Moderate,Yes,Yes,Good,Good,Good,Yes,Yes,High,Sometimes,Yes,Yes,Usually,Yes,Yes,Yes,Yes,No,Yes,Yes,High,Usually,Yes,Highly Motivated to Learn the Subject,Strong Understanding of Prerequisite Subjects,Highly Focused,Enjoy Exploring the Subject in Depth,Highly Interested in the Subject Content,Effectively Interact with the Lecturer,Quickly Grasp and Understand Key Concepts of the Subject
l5p4stsm,2003,Female,Public School,No study grant,Yes,Average,Renting,Personal Vehicle,Business,High school graduate,Parents have advanced academic degrees,"find out where the shop is in relation to somewhere I know, ask my friend to tell me the directions, write down the street directions I need to remember, use a map","seeing the diagrams, listening, reading the words, watching the actions","look at details about the highlights and activities on the tour, use a map and see where the places are, read about the tour on the itinerary, talk with the person who planned the tour or others who are going on the tour","Applying my knowledge in real situations, Communicating with others through discussion, Working with designs, maps or charts, Using words well in written communications","like to talk things through, see patterns in things, use examples and applications, read books, articles and handouts","consider examples of each option using my financial information, read a print brochure that describes the options in detail, use graphs showing different options for different time periods, talk with an expert about the options","watch others play the game before joining in, use the diagrams that explain the various stages, moves and strategies in the game, read the instructions","gave me something to read to explain what was wrong, used a plastic model to show me what was wrong, described what was wrong, showed me a diagram of what was wrong","read the written instructions that came with the program, talk with people who know about the program, start using it and learn by trial and error, follow the diagrams in a book","videos showing how to do or make things, interesting design and visual features, interesting written descriptions, lists and explanations, audio channels where I can listen to podcasts or interviews","diagrams to show the project stages with charts of benefits and costs, a written report describing the main features of the project, an opportunity to discuss the project, examples where the project has been used successfully","ask questions and talk about the camera and its features, use the written instructions about what to do, use diagrams showing the camera and what each part does, use examples of good and poor photos showing how to improve them","demonstrations, models or practical sessions, question and answer, talk, group discussion, or guest speakers, handouts, books, or readings, diagrams, charts, maps or graphs","using examples from what I have done, from somebody who talks it through with me, using a written description of my results, using graphs showing what I achieved","to view a video of the property, a discussion with the owner, a printed description of the rooms and features, a plan showing the rooms and a map of the area","diagrams showing each stage of the assembly, advice from someone who has done it before, written instructions that came with the parts for the table, watching a video of a person assembling a similar table",More than 20 hours,Sometimes,Sometimes,No,Yes,Full attendance,Sometimes,Sometimes,Positive,Sometimes,Positive,Self-preparation,Good,More than 3 hours,No,No,Moderate,No,No,Sometimes,Self-Directed Learning,No impact,Neutral,Yes,Moderate,Moderate,Yes,Yes,Average,Average,Average,Yes,No,Moderate,Sometimes,Yes,No,Usually,Yes,No,Yes,Yes,No,No,Yes,Moderate,Usually,Yes,Highly Motivated to Learn the Subject,Strong Understanding of Prerequisite Subjects,Highly Focused,Not Deeply Curious About the Subject,Highly Interested in the Subject Content,Effectively Interact with the Lecturer,Quickly Grasp and Understand Key Concepts of the Subject
ku8j4vjx,2004,Female,Public School,No study grant,No,Average,Renting,Personal Vehicle,Business,High school graduate,Parents have advanced academic degrees,use a map,"seeing the diagrams, listening, watching the actions","look at details about the highlights and activities on the tour, use a map and see where the places are, talk with the person who planned the tour or others who are going on the tour","Applying my knowledge in real situations, Working with designs, maps or charts, Using words well in written communications","see patterns in things, use examples and applications, read books, articles and handouts","consider examples of each option using my financial information, use graphs showing different options for different time periods, talk with an expert about the options","watch others play the game before joining in, listen to somebody explaining it and ask questions, read the instructions","gave me something to read to explain what was wrong, described what was wrong, showed me a diagram of what was wrong","read the written instructions that came with the program, start using it and learn by trial and error, follow the diagrams in a book","videos showing how to do or make things, interesting design and visual features, interesting written descriptions, lists and explanations","diagrams to show the project stages with charts of benefits and costs, a written report describing the main features of the project, examples where the project has been used successfully","ask questions and talk about the camera and its features, use diagrams showing the camera and what each part does, use examples of good and poor photos showing how to improve them","demonstrations, models or practical sessions, handouts, books, or readings, diagrams, charts, maps or graphs","using examples from what I have done, using a written description of my results, using graphs showing what I achieved","to view a video of the property, a discussion with the owner, a printed description of the rooms and features","diagrams showing each stage of the assembly, advice from someone who has done it before, watching a video of a person assembling a similar table",11-20 hours,Sometimes,Sometimes,Yes,Yes,Full attendance,Sometimes,Sometimes,Positive,Sometimes,Positive,Self-preparation,Good,From 1 to 3 hours,Yes,Yes,High,Yes,Yes,Sometimes,Learning Through Lectures,Positive,Useful,Yes,Moderate,High,Yes,Yes,Good,Good,Good,Yes,Yes,High,Sometimes,Yes,Yes,Usually,Yes,Yes,Yes,Yes,Yes,Yes,Yes,High,Sometimes,Yes,Highly Motivated to Learn the Subject,Strong Understanding of Prerequisite Subjects,Highly Focused,Enjoy Exploring the Subject in Depth,Highly Interested in the Subject Content,Effectively Interact with the Lecturer,Quickly Grasp and Understand Key Concepts of the Subject
s06yp1wz,2003,Male,Public School,No study grant,No,Average,Living with family,Personal Vehicle,Business,University graduate,Parents have advanced academic degrees,"find out where the shop is in relation to somewhere I know, ask my friend to tell me the directions, use a map","seeing the diagrams, reading the words, watching the actions","look at details about the highlights and activities on the tour, use a map and see where the places are, read about the tour on the itinerary, talk with the person who planned the tour or others who are going on the tour","Applying my knowledge in real situations, Using words well in written communications","see patterns in things, use examples and applications",consider examples of each option using my financial information,"listen to somebody explaining it and ask questions, read the instructions",gave me something to read to explain what was wrong,"read the written instructions that came with the program, start using it and learn by trial and error","interesting design and visual features, audio channels where I can listen to podcasts or interviews","diagrams to show the project stages with charts of benefits and costs, an opportunity to discuss the project","ask questions and talk about the camera and its features, use diagrams showing the camera and what each part does, use examples of good and poor photos showing how to improve them","demonstrations, models or practical sessions, diagrams, charts, maps or graphs","using examples from what I have done, using a written description of my results, using graphs showing what I achieved","to view a video of the property, a discussion with the owner, a printed description of the rooms and features, a plan showing the rooms and a map of the area","diagrams showing each stage of the assembly, written instructions that came with the parts for the table",Less than 5 hours,Sometimes,Sometimes,Yes,No,Miss some sessions,Sometimes,Sometimes,Positive,Sometimes,Positive,Self-preparation,Very good,From 1 to 3 hours,No,Yes,High,No,Yes,Sometimes,Self-Directed Learning,Positive,Neutral,Yes,Good,Moderate,Yes,Yes,Average,Good,Average,No,Yes,High,Sometimes,No,Yes,Usually,Yes,Yes,Yes,Yes,No,No,No,High,Usually,Yes,Highly Motivated to Learn the Subject,Strong Understanding of Prerequisite Subjects,Highly Focused,Enjoy Exploring the Subject in Depth,Highly Interested in the Subject Content,Effectively Interact with the Lecturer,Quickly Grasp and Understand Key Concepts of the Subject
kvbdpgpw,2004,Male,Private School,No study grant,Yes,Average,Private house,Personal Vehicle,Business,High school graduate,Parents have no advanced academic degrees,use a map,listening,look at details about the highlights and activities on the tour,Applying my knowledge in real situations,see patterns in things,consider examples of each option using my financial information,"watch others play the game before joining in, listen to somebody explaining it and ask questions, read the instructions","gave me something to read to explain what was wrong, described what was wrong",follow the diagrams in a book,videos showing how to do or make things,"diagrams to show the project stages with charts of benefits and costs, a written report describing the main features of the project",ask questions and talk about the camera and its features,"question and answer, talk, group discussion, or guest speakers",from somebody who talks it through with me,"to view a video of the property, a printed description of the rooms and features",diagrams showing each stage of the assembly,More than 20 hours,Usually,Usually,No,Yes,Full attendance,Usually,Usually,Positive,Sometimes,Positive,Self-preparation,Excellent,More than 3 hours,Yes,Yes,High,Yes,Yes,Sometimes,Self-Directed Learning,Positive,Useful,Yes,Moderate,Moderate,Yes,Yes,Average,Average,Average,Yes,Yes,High,Sometimes,Yes,Yes,Usually,Yes,Yes,Yes,Yes,No,Yes,No,High,Usually,Yes,Highly Motivated to Learn the Subject,Lack of Clear Understanding of Prerequisite Subjects,Often Lose Focus,Not Deeply Curious About the Subject,Not Very Interested in the Subject Content,Effectively Interact with the Lecturer,Find the Subject's Concepts Difficult to Understand
a7d5ta4p,2004,Male,Private School,50%,No,Average,Renting,Personal Vehicle,Business,High school graduate,Parents have no advanced academic degrees,find out where the shop is in relation to somewhere I know,listening,"look at details about the highlights and activities on the tour, talk with the person who planned the tour or others who are going on the tour","Communicating with others through discussion, Working with designs, maps or charts",see patterns in things,consider examples of each option using my financial information,"watch others play the game before joining in, listen to somebody explaining it and ask questions, use the diagrams that explain the various stages, moves and strategies in the game","gave me something to read to explain what was wrong, described what was wrong",read the written instructions that came with the program,"videos showing how to do or make things, audio channels where I can listen to podcasts or interviews",diagrams to show the project stages with charts of benefits and costs,use examples of good and poor photos showing how to improve them,"demonstrations, models or practical sessions, question and answer, talk, group discussion, or guest speakers, diagrams, charts, maps or graphs","using a written description of my results, using graphs showing what I achieved","to view a video of the property, a discussion with the owner, a printed description of the rooms and features, a plan showing the rooms and a map of the area","diagrams showing each stage of the assembly, written instructions that came with the parts for the table, watching a video of a person assembling a similar table",6-10 hours,Never,Sometimes,Yes,No,Full attendance,Sometimes,Usually,Positive,Sometimes,Positive,Self-preparation,Excellent,From 1 to 3 hours,Yes,Yes,Moderate,Yes,Yes,Sometimes,Learning Through Practice,Positive,Useful,Yes,Moderate,High,No,Yes,Average,Average,Average,Yes,Yes,High,Sometimes,Yes,Yes,Sometimes,No,Yes,Yes,Yes,Yes,Yes,Yes,Moderate,Usually,Yes,Low Motivation to Learn the Subject,Strong Understanding of Prerequisite Subjects,Highly Focused,Enjoy Exploring the Subject in Depth,Highly Interested in the Subject Content,Effectively Interact with the Lecturer,Quickly Grasp and Understand Key Concepts of the Subject
3hhwwtwe,2004,Male,Private School,No study grant,Yes,Average,Renting,Personal Vehicle,Business,High school graduate,Parents have no advanced academic degrees,"find out where the shop is in relation to somewhere I know, ask my friend to tell me the directions, use a map","seeing the diagrams, reading the words, watching the actions","look at details about the highlights and activities on the tour, use a map and see where the places are, read about the tour on the itinerary","Applying my knowledge in real situations, Working with designs, maps or charts","like to talk things through, use examples and applications","consider examples of each option using my financial information, read a print brochure that describes the options in detail","watch others play the game before joining in, listen to somebody explaining it and ask questions, read the instructions",gave me something to read to explain what was wrong,read the written instructions that came with the program,videos showing how to do or make things,diagrams to show the project stages with charts of benefits and costs,use examples of good and poor photos showing how to improve them,"demonstrations, models or practical sessions",using examples from what I have done,a printed description of the rooms and features,diagrams showing each stage of the assembly,6-10 hours,Sometimes,Usually,No,Yes,Miss some sessions,Sometimes,Sometimes,Positive,Sometimes,Positive,Self-preparation,Very good,From 1 to 3 hours,Yes,No,Moderate,No,No,Sometimes,Learning Through Practice,Positive,Neutral,Yes,Moderate,Moderate,No,No,Average,Good,Average,No,Yes,Moderate,Sometimes,Yes,No,Usually,Yes,No,No,Yes,No,No,Yes,Moderate,Sometimes,Yes,Low Motivation to Learn the Subject,Strong Understanding of Prerequisite Subjects,Often Lose Focus,Not Deeply Curious About the Subject,Not Very Interested in the Subject Content,Do Not Want to Interact with the Lecturer,Quickly Grasp and Understand Key Concepts of the Subject
21zhoz6t,2003,Female,Public School,No study grant,No,Average,Living with family,Personal Vehicle,Business,University graduate,Parents have no advanced academic degrees,"find out where the shop is in relation to somewhere I know, ask my friend to tell me the directions, use a map","listening, reading the words","look at details about the highlights and activities on the tour, use a map and see where the places are, talk with the person who planned the tour or others who are going on the tour","Applying my knowledge in real situations, Communicating with others through discussion","use examples and applications, read books, articles and handouts",consider examples of each option using my financial information,"watch others play the game before joining in, listen to somebody explaining it and ask questions, use the diagrams that explain the various stages, moves and strategies in the game, read the instructions","described what was wrong, showed me a diagram of what was wrong","read the written instructions that came with the program, follow the diagrams in a book","videos showing how to do or make things, interesting written descriptions, lists and explanations","diagrams to show the project stages with charts of benefits and costs, examples where the project has been used successfully","ask questions and talk about the camera and its features, use examples of good and poor photos showing how to improve them","demonstrations, models or practical sessions, question and answer, talk, group discussion, or guest speakers",using examples from what I have done,"to view a video of the property, a printed description of the rooms and features","diagrams showing each stage of the assembly, written instructions that came with the parts for the table",6-10 hours,Sometimes,Sometimes,No,No,Full attendance,Sometimes,Sometimes,No impact,Sometimes,Positive,Self-preparation,Good,More than 3 hours,Yes,No,Moderate,Yes,Yes,Sometimes,Learning Through Practice,Positive,Useful,Yes,Moderate,Moderate,Yes,Yes,Average,Average,Average,Yes,Yes,Moderate,Sometimes,Yes,Yes,Usually,Yes,Yes,Yes,Yes,Yes,Yes,Yes,High,Usually,Yes,Highly Motivated to Learn the Subject,Lack of Clear Understanding of Prerequisite Subjects,Often Lose Focus,Not Deeply Curious About the Subject,Not Very Interested in the Subject Content,Effectively Interact with the Lecturer,Find the Subject's Concepts Difficult to Understand
r08dujg0,2003,Male,Public School,No study grant,No,Low,Renting,Personal Vehicle,Business,University graduate,Parents have no advanced academic degrees,"find out where the shop is in relation to somewhere I know, ask my friend to tell me the directions, use a map","seeing the diagrams, listening","look at details about the highlights and activities on the tour, use a map and see where the places are, read about the tour on the itinerary, talk with the person who planned the tour or others who are going on the tour","Applying my knowledge in real situations, Communicating with others through discussion, Working with designs, maps or charts","see patterns in things, use examples and applications, read books, articles and handouts","consider examples of each option using my financial information, read a print brochure that describes the options in detail, use graphs showing different options for different time periods, talk with an expert about the options","watch others play the game before joining in, listen to somebody explaining it and ask questions","gave me something to read to explain what was wrong, described what was wrong, showed me a diagram of what was wrong","read the written instructions that came with the program, start using it and learn by trial and error, follow the diagrams in a book","videos showing how to do or make things, interesting design and visual features, interesting written descriptions, lists and explanations, audio channels where I can listen to podcasts or interviews","diagrams to show the project stages with charts of benefits and costs, a written report describing the main features of the project, examples where the project has been used successfully","ask questions and talk about the camera and its features, use the written instructions about what to do, use examples of good and poor photos showing how to improve them","demonstrations, models or practical sessions, question and answer, talk, group discussion, or guest speakers, handouts, books, or readings, diagrams, charts, maps or graphs","using examples from what I have done, from somebody who talks it through with me, using a written description of my results","to view a video of the property, a discussion with the owner, a printed description of the rooms and features, a plan showing the rooms and a map of the area","diagrams showing each stage of the assembly, written instructions that came with the parts for the table, watching a video of a person assembling a similar table",11-20 hours,Sometimes,Sometimes,No,Yes,Full attendance,Sometimes,Usually,No impact,Sometimes,Positive,Self-preparation,Excellent,From 1 to 3 hours,No,Yes,Moderate,Yes,No,Sometimes,Learning Through Practice,Positive,Useful,Yes,Moderate,Low,Yes,No,Good,Good,Good,Yes,Yes,High,Sometimes,Yes,No,Sometimes,Yes,Yes,No,Yes,Yes,Yes,Yes,High,Usually,Yes,Highly Motivated to Learn the Subject,Strong Understanding of Prerequisite Subjects,Highly Focused,Enjoy Exploring the Subject in Depth,Highly Interested in the Subject Content,Effectively Interact with the Lecturer,Quickly Grasp and Understand Key Concepts of the Subject
