Câu,Đề,Đáp án
22,"If foreign citizens buy more British pharmaceuticals and British citizens buy more stock in foreign corporations, how does this affect British net exports and net capital outflows?
A. Increases both British net exports and net capital outflows.
B. Increases British net exports and decreases British net capital outflows.
C. Decreases both British net exports and net capital outflows.
D. Decreases British net exports and increases British net capital outflows.",A. Increases both British net exports and net capital outflows
23,"If there are sticky wages, and the price level exceeds expectations, then,
A. The quantity of aggregate goods and services supplied decreases, indicated by a leftward shift of the short-run aggregate supply curve.
B. The quantity of aggregate goods and services supplied increases, indicated by a movement along the short-run aggregate supply curve.
C. The quantity of aggregate goods and services supplied decreases, indicated by a movement along the short-run aggregate supply curve.
D. The quantity of aggregate goods and services supplied increases, indicated by a rightward shift of the short-run aggregate supply curve.","B. Movement along the SRAS curve, quantity supplied increases"
24,"What is Productivity?
A. Is defined as the quantity of labor required to produce a nation's GDP.
B. Is defined as the quantity of labor required to produce one unit of goods and services.
C. Is defined as the quantity of goods and services produced from each unit of labor input.
D. Is defined as the quantity of goods and services produced per unit of time.",C. Goods/services produced per unit of labor input
25,"A British firm exchanges pounds for yen to purchase Japanese goods. What is the overall effect of these transactions?

A. Both Britain's net capital outflow and net exports increase.
B. Both Britain's net capital outflow and net exports decrease.
C. Britain's net capital outflow increases, and net exports decrease.
D. Britain's net capital outflow decreases, and net exports increase.",B. Both Britain’s net capital outflow and net exports decrease
26,"Who was appointed Chair of the Board of Governors in 2018 by Donald Trump?
A. Ben Bernanke
B. Janet Yellen
C. Jerome Powell
D. Alan Greenspan",C. Jerome Powell
27,"Real estate is:
A. liquid, but not a store of value.
B. a store of value, but only slightly liquid.
C. both liquid and a store of value.
D. neither liquid nor a store of value.","B. A store of value, but only slightly liquid"
28,"Which of the following is an example of a financial intermediary?
A. The Federal Reserve
B. The U.S. Treasury
C. A commercial bank
D. The New York Stock Exchange",C. A commercial bank
29,"When the Fed conducts an open market purchase, it:
A. buys bonds, which increases the money supply.
B. sells bonds, which increases the money supply.
C. buys bonds, which decreases the money supply.
D. sells bonds, which decreases the money supply.","A. Buys bonds, increasing the money supply"
30,"What is the primary function of money?
A. A store of value
B. A medium of exchange
C. A unit of account
D. All of the above",B. A medium of exchange
31,"In a certain economy, when income is $200, consumer spending is $145. The value of the multiplier for this economy is 6.25. It follows that, when income is $230, consumer spending is:
A. $151.25
B. $166.75
C. $170.20
D. $175.00",C. $170.20
32,"Liquidity is the
A. Opportunity cost of holding money.
B. Ease of converting assets into the economy's medium of exchange.
C. Price of money.
D. Ease of converting money into bonds.",B. Ease of converting assets into medium of exchange
33,"Which of the following is correct?
A. If the price of a good has risen over time, it must have become more scarce.
B. If the price of a good has risen over time, it must have become less scarce.
C. If the price of a good has risen over time, it has become more scarce only if the price adjustment has risen.
D. If the price of a good has risen over time, it has become less scarce only if the price adjustment has risen.","C. If the price of a good has risen over time, it has become more scarce only if the price adjustment has risen."
34,"Which of the following is correct?
A. The economy's two most important financial markets are the investment market and the saving market.
B. The economy's two most important financial markets are the bond market and the stock market.
C. The economy's two most important financial markets are banks and the stock market.
D. The economy's two most important financial markets are financial markets and financial institutions.",B. The economy's two most important financial markets are the bond market and the stock market.
35,"When the money market is drawn with the value of money on the vertical axis, an increase in the money supply shifts the money supply curve to the _____________.
For the money market, Vertical axis represents value of money. When money supply curve shifts to the right, the money supply ____________.

A. increase, reducing the price level.
B. increase, raising the price level.
C. decrease, raising the price level.
D. decrease, reducing the price level.","B. Increase, raising the price level"
36,"Which of the following is NOT a store of value?
A. Cash
B. Stocks
C. A meal
D. Gold",C. A meal
37,"Which of the following is correct?
A. If a firm wants to borrow it can supply bonds by selling them.
B. If a firm wants to borrow it can supply bonds by buying them.
C. If a firm wants to borrow it can demand bonds by selling them.
D. If a firm wants to borrow it can demand bonds by buying them.",A. Firm supplies bonds by selling them
38,"In the economy of Thailand in 2022, exports were $250, GDP was $1950, government purchases were $500, imports were $300, and investment was $350. What was Thailand’s consumption in 2022?
A. $1150
B. $1050
C. $1400
D. $550",A. $1150
39,"John, a U.S. citizen, works only in Vietnam. The value of the output he produces is
A. included in both U.S. GDP and U.S. GNP.
B. included in U.S. GNP, but it is not included in U.S. GDP.
C. included in U.S. GDP, but it is not included in U.S. GNP.
D. included in neither U.S. GDP nor U.S. GNP.","B. included in U.S. GNP, but it is not included in U.S. GDP."
40,"If a resident of Nation X acquires a television produced in Nation Y by a corporate entity from Nation Y, it would result in
A. A reduction in Nation X's net exports and a decrease in Nation X's GDP.
B. No change in Nation X's net exports and a decrease in Nation X's GDP.
C. No change in Nation X's net exports and no effect on Nation X's GDP.
D. A reduction in Nation X's net exports and no effect on Nation X's GDP.",D. A reduction in Nation X's net exports and no effect on Nation X's GDP.
41,"A Vietnam company operates a hotel in the U.S. The value of the hotel's output produced by Vietnamese citizens and the equipment they own is included in""
A. U.S. GNP and Vietnamese GNP
B. U.S. GNP and Vietnamese GDP
C. U.S. GDP and Vietnamese GNP
D. U.S. GDP and Vietnamese GDP",C. U.S. GDP and Vietnamese GNP
42,"Interest rates
A. are usually higher on short-term bonds than on long-term bonds.
B. for short-term bonds tend to rise when interest rates for long-term bonds fall.
C. for short-term bonds tend to fall when interest rates for long-term bonds rise.
D. are usually lower on short-term bonds than on long-term bonds.",D. are usually lower on short-term bonds than on long-term bonds.
43,"Which of the following is a store of value?
A. Real estate
B. Currency
C. Vietnam government bonds
D. All of the above are correct.",D. All of the above are correct.
44,"A Canadian company purchases fish from Norway and pays with Canadian dollars. What happens to Canada’s net exports?
A. They increase, and Canada’s net capital outflow increases.
B. They increase, and Canada’s net capital outflow decreases.
C. They decrease, and Canada’s net capital outflow increases.
D. They decrease, and Canada’s net capital outflow decreases.","D. They decrease, and Canada’s net capital outflow decreases."
45,"When inflation increases, how do people's banking habits and firms' pricing behaviors change?
A. People visit the bank less often, and firms change prices less often.
B. People visit the bank less often, but firms change prices more often.
C. People visit the bank more often, but firms change prices less often.
D. People visit the bank more often, and firms change prices more often.","D. People visit the bank more often, and firms change prices more often."
46,"Which of the following is correct?
A. Long-term bonds are riskier than short-term bonds, and so interest rates on long-term bonds are usually lower than interest rates on short-term bonds.
B. Long-term bonds are riskier than short-term bonds, and so interest rates on long-term bonds are usually higher than interest rates on short-term bonds.
C. Long-term bonds are less risky than short-term bonds, and so interest rates on lon
-term bonds are usually lower than interest rates on short-term bonds.
D. Long-term bonds are less risky than short-term bonds, and so interest rates on long-term bonds are usually higher than interest rates on short-term bonds.","B. Long-term bonds are riskier than short-term bonds, and so interest rates on long-term bonds are usually higher than interest rates on short-term bonds."
47,"A Canadian company buys construction equipment from China and pays in Canadian dollars. What happens to Canada’s net exports and net capital outflow?
A. Net exports increase, and net capital outflow increases.
B. Net exports increase, and net capital outflow decreases.
C. Net exports decrease, and net capital outflow increases.
D. Net exports decrease, and net capital outflow decreases.","D. Net exports decrease, and net capital outflow decreases."
48,"If the required reserve ratio is 10% and the central bank buys $10,000 worth of bonds from a commercial bank, by how much can the money supply potentially increase?
A. $10,000
B. $100,000
C. $1,000,000
D. $50,000","B. $100,000"
49,"Which of the following policies is an example of fiscal policy?
A. The central bank buying government bonds.
B. The government decreasing tax rates.
C. The central bank increasing the money supply.
D. The government increasing the required reserve ratio.",B. The government decreasing tax rates.
50,"What is the long-run effect of an increase in the money supply according to classical economic theory?
A. An increase in output and employment.
B. A decrease in interest rates and an increase in investment.
C. An increase in the price level with no change in real output.
D. A decrease in the unemployment rate.",C. An increase in the price level with no change in real output.
